index,II,NONEABP,PLETH,RESP, RESP, HR, PULSE, SpO2, NBP SYS, NBP DIAS, NBP MEAN, PlsNBP, ABP MEAN, ABP SYS, ABP DIAS, Tblood, CVP, CCI, CCO, C.I., CO, SVRI,sumpt
2022-07-08 05:40:40.008,56.0,0.0,128.0,119.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.016,58.0,0.0,128.0,118.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.024,56.0,0.0,128.0,116.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.032,55.0,0.0,128.0,115.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.040,58.0,0.0,128.0,113.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.048,60.0,0.0,128.0,111.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.056,53.0,0.0,128.0,109.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.064,63.0,0.0,128.0,107.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.072,109.0,0.0,128.0,105.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.080,164.0,0.0,128.0,102.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.088,141.0,0.0,128.0,100.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.096,76.0,0.0,128.0,97.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.104,54.0,0.0,128.0,94.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.112,57.0,0.0,128.0,92.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.120,57.0,0.0,128.0,88.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.128,50.0,0.0,128.0,85.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.136,50.0,0.0,128.0,82.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.144,53.0,0.0,128.0,78.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.152,54.0,0.0,128.0,75.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.160,50.0,0.0,128.0,72.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.168,51.0,0.0,128.0,68.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.176,51.0,0.0,128.0,65.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.184,51.0,0.0,128.0,62.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.192,53.0,0.0,128.0,58.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.200,53.0,0.0,128.0,55.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.208,50.0,0.0,128.0,52.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.216,49.0,0.0,128.0,49.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.224,53.0,0.0,128.0,46.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.232,52.0,0.0,128.0,43.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.240,51.0,0.0,128.0,40.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.248,51.0,0.0,128.0,37.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.256,52.0,0.0,128.0,35.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.264,51.0,0.0,128.0,32.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.272,50.0,0.0,128.0,30.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.280,51.0,0.0,128.0,28.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.288,50.0,0.0,128.0,26.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.296,55.0,0.0,128.0,24.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.304,52.0,0.0,128.0,22.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.312,57.0,0.0,128.0,21.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.320,59.0,0.0,128.0,20.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.328,65.0,0.0,128.0,19.0,,,,,,,,,,,,,,,,,,,
2022-07-08 05:40:40.336,62.0,0.0,128.0,18.0,,,,,,,,,,,,,,,,,,,
